"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Trash Bags","basic","Inconsistent","Yes","100"
"2","bathroom2.jpg","Shower Head","consistent","Consistent","Yes","150"
"3","bathroom3.jpg","Toilet Paper","consistent","Consistent","No","100"
"4","bathroom4.jpg","Razor","consistent","Consistent","No","50"
"5","bathroom6.jpg","Fire Alarm","basic","Inconsistent","No","100"
"6","bathroom7.jpg","Soap Bar","consistent","Consistent","Yes","50"
"7","bedroom11.jpg","Nightstand","consistent","Consistent","No","100"
"8","bedroom12.jpg","Soap Bar","basic","Inconsistent","No","50"
"9","bedroom13.jpg","Armchair Recliner","basic","Inconsistent","Yes","100"
"10","bedroom5.jpg","Rocking Chair","basic","Inconsistent","No","150"
"11","bedroom9.jpg","Pitchfork","super","Inconsistent","Yes","100"
"12","bell.jpg","Coffee Maker","consistent","Consistent","Yes","50"
"13","bin.jpg","Rocking Chair","consistent","Consistent","Yes","150"
"14","blender.jpg","Frying Pan","consistent","Consistent","Yes","50"
"15","brick_apartment.png","Nightstand","super","Inconsistent","Yes","50"
"16","briefcase.jpg","Soccer Ball","super","Inconsistent","No","100"
"17","bust.jpg","Road Work Sign","super","Inconsistent","No","150"
"18","child_bedroom.png","Teddy Bear","consistent","Consistent","No","100"
"19","citycenter10.jpg","Wood-Splitting Axe","basic","Inconsistent","No","150"
"20","citycenter11.jpg","Bench","consistent","Consistent","No","100"
"21","citycenter12.jpg","Historical Plaque","consistent","Consistent","No","150"
"22","citycenter2.jpg","Taxi","consistent","Consistent","Yes","50"
"23","citycenter26.jpg","Sculpture","consistent","Consistent","No","50"
"24","class11.jpg","Backpack","consistent","Consistent","No","50"
"25","class3.jpg","Notebook","consistent","Consistent","Yes","100"
"26","class6.jpg","Textbook","consistent","Consistent","Yes","150"
"27","class8.jpg","Pencil Case","consistent","Consistent","No","100"
"28","class9.jpg","Fishing Boat","super","Inconsistent","No","150"
"29","clock.jpg","Sandbox","basic","Inconsistent","Yes","150"
"30","coast10.jpg","Surfboard","consistent","Consistent","Yes","100"
"31","coast11.jpg","Windmill","basic","Inconsistent","Yes","50"
"32","coast3.jpg","Lighthouse","consistent","Consistent","Yes","150"
"33","coast7.jpg","Beach Towel","consistent","Consistent","No","150"
"34","coast8.jpg","Ladle","super","Inconsistent","Yes","50"
"35","conference1.jpg","Teddy Bear","basic","Inconsistent","No","50"
"36","conference3.jpg","Sculpture","super","Inconsistent","Yes","150"
"37","conference4.jpg","Projector Screen","consistent","Consistent","No","100"
"38","conference5.jpg","Lawn Mower","super","Inconsistent","No","50"
"39","conference7.jpg","Projector","consistent","Consistent","Yes","100"
"40","corridor1.jpg","Drinking Fountain","consistent","Consistent","Yes","50"
"41","corridor2.jpg","Rock","super","Inconsistent","Yes","100"
"42","corridor3.jpg","Razor","basic","Inconsistent","Yes","100"
"43","corridor4.jpg","Building Exit Sign","consistent","Consistent","No","150"
"44","corridor5.jpg","Fire Alarm","consistent","Consistent","Yes","100"
"45","dining3.jpg","Sticky Notes","basic","Inconsistent","No","100"
"46","dining5.jpg","Picnic Table","super","Inconsistent","Yes","50"
"47","dining6.jpg","Candle","consistent","Consistent","Yes","150"
"48","dining7.jpg","Camping Tent","super","Inconsistent","No","100"
"49","dining8.jpg","Lighthouse","super","Inconsistent","Yes","100"
"50","elephant.jpg","Napkin","consistent","Consistent","Yes","150"
"51","fan.jpg","Subway Station Sign","super","Inconsistent","Yes","100"
"52","farm1.jpg","Hay Bale","consistent","Consistent","No","150"
"53","farm2.jpg","Wheelbarrow","consistent","Consistent","No","50"
"54","farm3.jpg","Seesaw","basic","Inconsistent","Yes","50"
"55","farm4.jpg","Highway Exit Sign","basic","Inconsistent","Yes","100"
"56","farm7.jpg","Surfboard","basic","Inconsistent","Yes","50"
"57","fire_hydrant.jpg","Napkin","super","Inconsistent","Yes","150"
"58","flowers.jpg","Picture Frame","consistent","Consistent","No","50"
"59","forest1.jpg","Parking Meter","basic","Inconsistent","No","150"
"60","forest11.jpg","Television","super","Inconsistent","No","100"
"61","forest14.jpg","Camping Tent","consistent","Consistent","Yes","150"
"62","forest2.jpg","Baking Tray","super","Inconsistent","No","50"
"63","forest9.jpg","Wood-Splitting Axe","consistent","Consistent","Yes","100"
"64","fruit_bowl.jpg","Pencil Holder","basic","Inconsistent","No","100"
"65","glass.jpg","Notebook","basic","Inconsistent","No","50"
"66","highway10.jpg","Billboard","consistent","Consistent","No","150"
"67","highway12.jpg","Bus","consistent","Consistent","Yes","100"
"68","highway6.jpg","Road Work Sign","consistent","Consistent","Yes","100"
"69","highway8.jpg","Colander","super","Inconsistent","Yes","150"
"70","highway9.jpg","Highway Exit Sign","consistent","Consistent","Yes","50"
"71","kitchen10.jpg","Colander","consistent","Consistent","No","150"
"72","kitchen13.jpg","Traffic Light","super","Inconsistent","No","150"
"73","kitchen2.jpg","Ladle","consistent","Consistent","Yes","100"
"74","kitchen6.jpg","Building Exit Sign","basic","Inconsistent","Yes","150"
"75","kitchen7.jpg","Baking Tray","consistent","Consistent","Yes","150"
"76","living13.jpg","Vacuum Cleaner","consistent","Consistent","No","100"
"77","living16.jpg","Television","consistent","Consistent","No","100"
"78","living17.jpg","Armchair Recliner","consistent","Consistent","Yes","100"
"79","living6.jpg","Vase","consistent","Consistent","No","100"
"80","living9.jpg","Projector","basic","Inconsistent","No","100"
"81","MDS201.jpg","Rock","consistent","Consistent","Yes","50"
"82","modern_livingroom.png","Hay Bale","super","Inconsistent","Yes","50"
"83","natural_fall.png","Beach Towel","basic","Inconsistent","No","100"
"84","Nature14.jpg","Candle","super","Inconsistent","Yes","50"
"85","Nature22.jpg","Toilet Paper","super","Inconsistent","Yes","150"
"86","Nature36.jpg","Bus Stop Shelter","basic","Inconsistent","No","150"
"87","Nature40.jpg","Bicycle","basic","Inconsistent","No","50"
"88","Nature47.jpg","Fishing Boat","consistent","Consistent","Yes","100"
"89","office1.jpg","Pencil Holder","consistent","Consistent","No","50"
"90","office10.jpg","Vacuum Cleaner","basic","Inconsistent","No","50"
"91","office4.jpg","Backpack","basic","Inconsistent","Yes","50"
"92","office8.jpg","Sticky Notes","consistent","Consistent","No","150"
"93","office9.jpg","Bus","super","Inconsistent","No","100"
"94","opencountry1.jpg","Textbook","super","Inconsistent","No","50"
"95","opencountry2.jpg","Shower Head","super","Inconsistent","No","50"
